rideId,number,rideDate,occupation,collectedAt
2,6500-10,2017-11-29T07:51:02.804Z,8,2017-11-29T08:45:58.703Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:41:05.250Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:40:08.436Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:38:26.185Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:36:51.678Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:33:54.727Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:30:58.271Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:28:14.322Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T08:25:05.015Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:23:03.810Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:20:12.768Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:17:27.477Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:15:51.656Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:12:33.895Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:09:56.690Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:03:24.535Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T07:58:31.785Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T07:56:27.382Z
