date,unix_timestamp,timestamp,wifi,real,direction,kmh,lat,long
06/12/2017,1512587256,2017-12-06T19:07:36.000Z,3,1,0,0.16920000000000002,-23.649159548,-46.70363079
06/12/2017,1512587257,2017-12-06T19:07:37.000Z,3,1,0,0.07919999999999999,-23.649156908,-46.703630236
06/12/2017,1512587258,2017-12-06T19:07:38.000Z,3,1,0,0.13319999999999999,-23.649154942,-46.703629913
06/12/2017,1512587259,2017-12-06T19:07:39.000Z,3,1,0,0.0936,-23.649153453,-46.703629435
06/12/2017,1512587260,2017-12-06T19:07:40.000Z,3,1,0,0.0216,-23.649153773,-46.703628595
06/12/2017,1512587261,2017-12-06T19:07:41.000Z,3,1,0,0.2808,-23.649154301,-46.703627261
06/12/2017,1512587262,2017-12-06T19:07:42.000Z,3,1,0,3.0204,-23.649150183,-46.703622588
06/12/2017,1512587263,2017-12-06T19:07:43.000Z,3,1,0,6.8796,-23.649138061,-46.703612226
06/12/2017,1512587264,2017-12-06T19:07:44.000Z,3,1,0,11.43,-23.649117867,-46.703595006
06/12/2017,1512587265,2017-12-06T19:07:45.000Z,3,1,0,15.8256,-23.649087255,-46.703571776
06/12/2017,1512587266,2017-12-06T19:07:46.000Z,3,1,0,18.212400000000002,-23.649053143,-46.703543864
06/12/2017,1512587267,2017-12-06T19:07:47.000Z,3,1,0,21.1752,-23.649015449,-46.70351107
06/12/2017,1512587268,2017-12-06T19:07:48.000Z,3,1,0,22.1076,-23.648977057,-46.703476322
06/12/2017,1512587269,2017-12-06T19:07:49.000Z,3,1,0,22.9284,-23.648934075,-46.703437278
06/12/2017,1512587270,2017-12-06T19:07:50.000Z,3,1,0,25.2468,-23.648887411,-46.703405585
06/12/2017,1512587271,2017-12-06T19:07:51.000Z,3,1,0,25.1748,-23.648839783,-46.703366805
06/12/2017,1512587272,2017-12-06T19:07:52.000Z,3,1,0,25.2072,-23.648790914,-46.703325407
06/12/2017,1512587273,2017-12-06T19:07:53.000Z,3,1,0,29.195999999999998,-23.648733691,-46.703283591
06/12/2017,1512587274,2017-12-06T19:07:54.000Z,3,1,0,26.4492,-23.6486797,-46.703246563
06/12/2017,1512587275,2017-12-06T19:07:55.000Z,3,1,0,25.272,-23.648630947,-46.703206902
06/12/2017,1512587276,2017-12-06T19:07:56.000Z,3,1,0,28.5876,-23.648570403,-46.703166553
06/12/2017,1512587277,2017-12-06T19:07:57.000Z,3,1,0,33.012,-23.648504661,-46.703113542
06/12/2017,1512587278,2017-12-06T19:07:58.000Z,3,1,0,36.126000000000005,-23.648428294,-46.703060577
06/12/2017,1512587279,2017-12-06T19:07:59.000Z,3,1,0,37.083600000000004,-23.648347875,-46.703013345
06/12/2017,1512587280,2017-12-06T19:08:00.000Z,3,1,0,36.3924,-23.648272553,-46.702957722
06/12/2017,1512587281,2017-12-06T19:08:01.000Z,3,1,0,37.0332,-23.648191782,-46.702901834
06/12/2017,1512587282,2017-12-06T19:08:02.000Z,3,1,0,37.8612,-23.648111756,-46.702846869
06/12/2017,1512587283,2017-12-06T19:08:03.000Z,3,1,0,36.6768,-23.648032352,-46.702790017
06/12/2017,1512587284,2017-12-06T19:08:04.000Z,3,1,0,35.406000000000006,-23.647951061,-46.702731029
06/12/2017,1512587285,2017-12-06T19:08:05.000Z,3,1,0,32.1588,-23.647878786,-46.702677575
06/12/2017,1512587286,2017-12-06T19:08:06.000Z,3,1,0,27.3276,-23.647818297,-46.702631724
06/12/2017,1512587287,2017-12-06T19:08:07.000Z,3,1,0,25.7436,-23.647760675,-46.70259255
06/12/2017,1512587288,2017-12-06T19:08:08.000Z,3,1,0,23.8824,-23.647709122,-46.702557765
06/12/2017,1512587289,2017-12-06T19:08:09.000Z,3,1,0,25.0956,-23.647657002,-46.702518905
06/12/2017,1512587290,2017-12-06T19:08:10.000Z,3,1,0,26.0964,-23.64760429,-46.702480405
06/12/2017,1512587291,2017-12-06T19:08:11.000Z,3,1,0,28.1088,-23.647545637,-46.702439711
06/12/2017,1512587292,2017-12-06T19:08:12.000Z,3,1,0,29.5992,-23.64748823,-46.70239507
06/12/2017,1512587293,2017-12-06T19:08:13.000Z,3,1,0,31.7556,-23.647423552,-46.702347621
06/12/2017,1512587294,2017-12-06T19:08:14.000Z,3,1,0,32.4072,-23.647356594,-46.70229744
06/12/2017,1512587295,2017-12-06T19:08:15.000Z,3,1,0,32.8068,-23.647290726,-46.702242106
06/12/2017,1512587296,2017-12-06T19:08:16.000Z,3,1,0,34.3656,-23.647220261,-46.702188684
06/12/2017,1512587297,2017-12-06T19:08:17.000Z,3,1,0,34.8012,-23.647153167,-46.702131329
